year,age,race,sex,marital,educ,degree,sibs,agekdbrn,coninc,region,partyid,wrkstat,hrs1,earnrs,happy,health,relig,attend,postlife,socrel,news,tvhours,satjob,class,satfin,polviews,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,fear,owngun,hunt,gunlaw,grass,courts,fepol,fefam,fehire,vote_last_pres_election
2018,83,white,female,widowed,12,high school,1,24,16648.75,midwest,strong democrat,retired,NA,0,pretty happy,fair,catholic,about once a month,yes,about once a month,every day,6,iap,middle class,more or less satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,agree,agree,voted
1998,45,white,male,never married,12,high school,3,NA,29424,south,not very strong democrat,working full time,40,2,pretty happy,excellent,none,never,yes,once or twice a week,every day,4,moderately satisfied,working class,not satisfied at all,liberal,hardly any,only some,hardly any,only some,hardly any,only some,hardly any,hardly any,hardly any,only some,a great deal,hardly any,only some,iap,iap,iap,iap,should be legal,about right,disagree,strongly disagree,iap,voted
1998,75,black,female,widowed,12,high school,2,35,12037,midwest,not very strong democrat,retired,NA,1,not too happy,poor,protestant,never,yes,several times a year,every day,6,iap,working class,more or less satisfied,"moderate, middle of the road",a great deal,only some,hardly any,hardly any,hardly any,only some,hardly any,a great deal,a great deal,only some,only some,hardly any,only some,iap,iap,iap,iap,should be legal,not harshly enough,agree,disagree,iap,did not vote
1998,63,white,female,married,14,high school,2,25,NA,midwest,not very strong republican,keeping house,NA,1,very happy,good,protestant,several times a year,yes,several times a month,a few times a week,4,very satisfied,middle class,pretty well satisfied,slightly conservative,only some,a great deal,a great deal,a great deal,hardly any,only some,only some,a great deal,only some,only some,a great deal,only some,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,voted
2018,32,white,female,never married,15,high school,6,20,14896.249999999998,midwest,"independent, close to democrat",keeping house,NA,1,very happy,good,protestant,several times a year,don't know,once or twice a week,never,0,very satisfied,lower class,not satisfied at all,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,iap,voted
2018,73,white,female,married,12,high school,5,22,19277.5,south,not very strong republican,retired,NA,1,pretty happy,iap,protestant,several times a year,don't know,about once a month,never,3,iap,working class,pretty well satisfied,"moderate, middle of the road",only some,only some,only some,only some,hardly any,only some,hardly any,only some,hardly any,only some,only some,only some,only some,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,iap,did not vote
1998,53,white,female,divorced,14,high school,0,25,106998,south,"independent, close to democrat",working full time,60,1,pretty happy,poor,jewish,never,don't know,about once a month,every day,2,moderately satisfied,middle class,more or less satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,agree,iap,voted
1998,27,other,male,never married,8,less than high school,6,17,29424,west,"independent, close to republican","unemployed, laid off, looking for work",NA,3,not too happy,poor,catholic,about once or twice a year,iap,iap,iap,NA,moderately satisfied,working class,more or less satisfied,conservative,a great deal,only some,a great deal,a great deal,a great deal,hardly any,a great deal,a great deal,hardly any,a great deal,a great deal,a great deal,a great deal,yes,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,did not vote
2018,52,white,female,never married,12,high school,1,32,11391.25,south,"independent (neither, no response)","unemployed, laid off, looking for work",NA,1,pretty happy,fair,none,about once or twice a year,don't know,iap,iap,NA,a little dissatisfied,middle class,not satisfied at all,conservative,hardly any,a great deal,only some,a great deal,only some,a great deal,only some,a great deal,hardly any,a great deal,only some,hardly any,a great deal,no,yes,"no, neither r nor spouse hunts",favor,should be legal,about right,iap,iap,iap,voted
2018,60,white,male,married,12,high school,5,38,84120,midwest,other party,working full time,40,2,very happy,excellent,none,never,no,iap,iap,NA,very satisfied,middle class,pretty well satisfied,extremely conservative,only some,a great deal,hardly any,only some,hardly any,hardly any,hardly any,hardly any,hardly any,only some,a great deal,hardly any,only some,no,no,"no, neither r nor spouse hunts",favor,should be legal,not harshly enough,iap,iap,iap,voted
1998,18,white,female,never married,11,less than high school,4,NA,72223,northeast,"independent (neither, no response)",working part time,17,3,pretty happy,good,catholic,less than once a year,yes,several times a year,a few times a week,2,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,don't know,"no, neither r nor spouse hunts",favor,iap,not harshly enough,agree,agree,iap,ineligible
1998,41,white,male,married,16,bachelor's,1,39,148796,west,not very strong republican,working full time,50,2,very happy,excellent,protestant,less than once a year,yes,iap,iap,1,very satisfied,upper class,more or less satisfied,liberal,only some,a great deal,hardly any,only some,hardly any,only some,hardly any,only some,only some,a great deal,only some,only some,only some,no,yes,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,39,white,male,married,10,high school,0,NA,70100,west,strong democrat,keeping house,NA,1,pretty happy,fair,none,never,no,several times a year,never,1,moderately satisfied,working class,not satisfied at all,extremely liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,don't know,disagree,strongly disagree,strongly agree,did not vote
1998,21,other,female,never married,12,high school,5,NA,34774,south,not very strong republican,"unemployed, laid off, looking for work",NA,2,pretty happy,good,catholic,about once a month,iap,iap,iap,NA,a little dissatisfied,working class,more or less satisfied,slightly conservative,hardly any,only some,only some,only some,only some,hardly any,only some,only some,hardly any,hardly any,a great deal,only some,only some,yes,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,did not vote
2018,46,white,female,married,16,bachelor's,5,31,112160,midwest,strong republican,working full time,38,2,pretty happy,good,christian,about once a month,yes,several times a year,never,2,moderately satisfied,middle class,pretty well satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, spouse does",favor,iap,not harshly enough,disagree,disagree,neither agree nor disagree,voted
1998,76,white,female,married,16,graduate,2,24,48149,south,strong democrat,keeping house,NA,0,very happy,good,protestant,every week,yes,iap,iap,3,very satisfied,middle class,pretty well satisfied,slightly liberal,only some,only some,only some,a great deal,a great deal,only some,hardly any,only some,hardly any,a great deal,a great deal,hardly any,only some,yes,no,"no, neither r nor spouse hunts",favor,should be legal,about right,iap,iap,iap,voted
2018,65,white,female,divorced,19,graduate,3,31,70100,midwest,strong democrat,working full time,35,1,very happy,good,protestant,nearly every week,yes,several times a year,every day,2,moderately satisfied,middle class,not satisfied at all,extremely liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,too harshly,disagree,strongly disagree,strongly agree,voted
1998,19,other,male,never married,12,high school,0,NA,40124,south,"independent (neither, no response)",working full time,40,2,pretty happy,excellent,catholic,less than once a year,yes,iap,iap,3,moderately satisfied,working class,not satisfied at all,don't know,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,a great deal,yes,no,"no, neither r nor spouse hunts",favor,should be legal,not harshly enough,iap,iap,iap,ineligible
1998,23,white,male,never married,12,high school,6,NA,20062,midwest,not very strong republican,working full time,54,1,pretty happy,good,protestant,about once a month,no,about once a year,less than once a week,2,moderately satisfied,working class,more or less satisfied,slightly conservative,a great deal,a great deal,a great deal,only some,only some,hardly any,only some,only some,only some,a great deal,a great deal,only some,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,did not vote
1998,43,white,male,married,12,high school,6,25,NA,south,not very strong republican,working full time,70,3,pretty happy,good,christian,about once or twice a year,yes,about once a month,less than once a week,2,a little dissatisfied,middle class,more or less satisfied,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,no answer,oppose,iap,not harshly enough,agree,strongly agree,iap,voted
2018,70,white,male,married,9,less than high school,2,20,2453.5,south,not very strong democrat,retired,NA,0,very happy,poor,protestant,less than once a year,yes,several times a month,never,8,iap,working class,not satisfied at all,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",oppose,iap,about right,disagree,strongly disagree,iap,voted
2018,24,white,male,never married,16,high school,3,NA,19277.5,south,"independent, close to republican",in school,NA,1,pretty happy,iap,none,never,yes,several times a year,never,1,iap,middle class,more or less satisfied,slightly conservative,hardly any,a great deal,only some,only some,hardly any,only some,hardly any,a great deal,hardly any,a great deal,a great deal,hardly any,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,agree,voted
2018,28,white,male,never married,8,less than high school,5,NA,112160,west,"independent, close to republican",working full time,50,3,pretty happy,excellent,none,never,no,iap,iap,NA,very satisfied,working class,pretty well satisfied,"moderate, middle of the road",hardly any,only some,hardly any,hardly any,hardly any,hardly any,hardly any,only some,hardly any,hardly any,only some,hardly any,hardly any,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,77,white,female,married,12,high school,3,18,38555,south,strong republican,keeping house,NA,0,very happy,good,protestant,every week,yes,several times a year,less than once a week,4,moderately satisfied,middle class,pretty well satisfied,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,agree,strongly agree,iap,voted
1998,60,white,male,never married,20,bachelor's,2,NA,12037,south,strong democrat,working part time,30,2,not too happy,excellent,catholic,every week,iap,iap,iap,NA,very satisfied,middle class,not satisfied at all,slightly conservative,only some,only some,only some,only some,only some,only some,a great deal,a great deal,only some,don't know,a great deal,only some,only some,yes,no,"no, neither r nor spouse hunts",favor,don't know,don't know,iap,iap,iap,voted
2018,47,white,male,married,16,bachelor's,3,27,38555,midwest,not very strong republican,working full time,40,2,pretty happy,iap,protestant,every week,yes,once or twice a week,less than once a week,2,very satisfied,middle class,more or less satisfied,conservative,only some,only some,a great deal,only some,only some,only some,hardly any,only some,hardly any,only some,only some,only some,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,voted
1998,31,white,male,married,12,high school,6,26,58849,south,"independent, close to republican",working full time,40,2,pretty happy,fair,catholic,several times a year,yes,several times a month,once a week,1,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",only some,only some,a great deal,only some,only some,hardly any,only some,a great deal,hardly any,a great deal,a great deal,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,voted
1998,21,white,male,never married,14,associate/junior college,2,NA,58849,northeast,not very strong republican,working full time,40,3,pretty happy,excellent,protestant,nearly every week,yes,several times a month,once a week,2,very satisfied,middle class,not satisfied at all,slightly conservative,only some,only some,a great deal,only some,a great deal,a great deal,only some,only some,a great deal,a great deal,a great deal,only some,a great deal,iap,iap,iap,iap,should not be legal,about right,disagree,disagree,iap,ineligible
2018,27,white,female,married,12,high school,1,25,112160,west,"independent, close to republican",keeping house,NA,3,pretty happy,good,catholic,never,yes,almost daily,never,4,a little dissatisfied,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"no, neither r nor spouse hunts",oppose,iap,not harshly enough,disagree,strongly disagree,iap,voted
1998,69,white,male,married,12,high school,2,28,48149,west,not very strong republican,working full time,35,2,pretty happy,excellent,protestant,several times a year,yes,iap,iap,2,moderately satisfied,middle class,more or less satisfied,"moderate, middle of the road",only some,only some,only some,a great deal,only some,only some,a great deal,a great deal,a great deal,a great deal,a great deal,only some,only some,no,yes,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,36,white,female,never married,16,bachelor's,2,32,31544.999999999996,west,strong democrat,working full time,40,1,pretty happy,iap,none,less than once a year,yes,once or twice a week,never,1,moderately satisfied,middle class,more or less satisfied,slightly liberal,hardly any,hardly any,hardly any,only some,only some,only some,only some,only some,hardly any,only some,a great deal,hardly any,only some,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,iap,did not vote
1998,43,white,female,married,17,graduate,4,NA,88273,west,not very strong democrat,working full time,50,2,very happy,good,none,never,yes,several times a month,a few times a week,1,very satisfied,middle class,pretty well satisfied,"moderate, middle of the road",only some,only some,hardly any,only some,only some,only some,only some,only some,only some,only some,a great deal,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,strongly disagree,iap,voted
2018,82,white,male,married,9,less than high school,4,23,16648.75,midwest,"independent, close to democrat",retired,NA,0,very happy,good,protestant,never,yes,about once a month,never,3,iap,middle class,more or less satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, respondent does",favor,iap,not harshly enough,agree,strongly agree,agree,voted
2018,53,black,female,married,16,graduate,6,25,NA,south,no answer,working part time,25,2,very happy,good,no answer,every week,no answer,iap,iap,NA,moderately satisfied,don't know,more or less satisfied,don't know,hardly any,only some,only some,only some,don't know,only some,only some,only some,only some,only some,don't know,only some,only some,no,no,"no, neither r nor spouse hunts",don't know,should not be legal,don't know,iap,iap,iap,voted
2018,84,white,male,married,16,associate/junior college,0,28,19277.5,west,strong democrat,retired,NA,0,pretty happy,iap,jewish,never,no,almost daily,every day,3,iap,middle class,more or less satisfied,liberal,a great deal,only some,hardly any,a great deal,hardly any,a great deal,a great deal,a great deal,only some,only some,a great deal,hardly any,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,agree,strongly agree,did not vote
2018,27,black,female,never married,13,high school,2,17,19277.5,midwest,"independent (neither, no response)",keeping house,NA,1,pretty happy,fair,none,less than once a year,yes,iap,iap,NA,a little dissatisfied,working class,not satisfied at all,slightly liberal,only some,only some,hardly any,a great deal,only some,only some,hardly any,a great deal,hardly any,only some,a great deal,only some,only some,yes,no,"no, neither r nor spouse hunts",oppose,should be legal,too harshly,iap,iap,iap,did not vote
2018,25,white,male,never married,12,high school,5,NA,13143.75,south,"independent (neither, no response)",working full time,40,1,pretty happy,excellent,none,never,no,iap,iap,NA,moderately satisfied,working class,more or less satisfied,don't know,only some,a great deal,only some,a great deal,a great deal,only some,a great deal,a great deal,only some,only some,don't know,don't know,a great deal,no,no,"no, neither r nor spouse hunts",don't know,should not be legal,not harshly enough,iap,iap,iap,did not vote
2018,39,white,female,never married,15,high school,0,37,31544.999999999996,midwest,not very strong republican,working full time,40,1,pretty happy,good,none,never,yes,once or twice a week,a few times a week,2,moderately satisfied,middle class,not satisfied at all,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,agree,voted
2018,43,other,male,married,20,graduate,2,27,70100,south,"independent, close to democrat",working full time,50,3,pretty happy,excellent,hinduism,every week,yes,about once a month,every day,1,very satisfied,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,don't know,disagree,strongly disagree,agree,voted
2018,35,white,female,never married,17,associate/junior college,2,NA,7886.249999999999,northeast,not very strong democrat,keeping house,NA,1,not too happy,iap,christian,never,don't know,about once a year,a few times a week,0,a little dissatisfied,lower class,not satisfied at all,liberal,only some,only some,a great deal,only some,hardly any,only some,only some,only some,only some,only some,only some,only some,only some,iap,iap,iap,iap,should be legal,too harshly,disagree,strongly disagree,iap,did not vote
2018,33,other,male,never married,16,high school,2,NA,57832.5,west,"independent (neither, no response)",in school,NA,3,pretty happy,fair,none,about once or twice a year,no,almost daily,never,2,iap,middle class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",oppose,iap,not harshly enough,agree,strongly disagree,agree,did not vote
1998,34,white,female,married,16,high school,3,21,34774,midwest,strong republican,working full time,32,1,very happy,excellent,protestant,several times a year,yes,once or twice a week,once a week,4,very satisfied,working class,pretty well satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, spouse does",favor,iap,not harshly enough,agree,disagree,iap,voted
1998,45,white,female,married,12,high school,6,23,12037,west,"independent, close to democrat",working part time,25,1,not too happy,poor,other,2-3 times a month,iap,iap,iap,NA,a little dissatisfied,lower class,not satisfied at all,conservative,a great deal,don't know,a great deal,only some,only some,hardly any,only some,hardly any,a great deal,a great deal,don't know,a great deal,a great deal,yes,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,ineligible
1998,81,white,female,widowed,12,high school,4,19,14712,midwest,strong democrat,retired,NA,0,very happy,good,protestant,about once a month,no,several times a month,every day,1,iap,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,agree,disagree,iap,voted
1998,34,white,female,married,13,high school,3,23,22737,west,not very strong democrat,working full time,72,2,very happy,good,protestant,nearly every week,yes,once or twice a week,a few times a week,2,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,iap,voted
1998,29,other,female,never married,12,high school,2,21,17387,west,strong democrat,"unemployed, laid off, looking for work",NA,2,not too happy,fair,none,about once or twice a year,yes,about once a month,once a week,6,very satisfied,lower class,not satisfied at all,"moderate, middle of the road",a great deal,only some,only some,a great deal,only some,only some,hardly any,a great deal,hardly any,only some,a great deal,only some,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,voted
2018,74,black,female,widowed,18,graduate,2,25,57832.5,south,strong democrat,retired,NA,0,pretty happy,good,protestant,several times a week,yes,several times a month,never,6,iap,middle class,more or less satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,refused,"no, neither r nor spouse hunts",oppose,iap,don't know,disagree,disagree,iap,voted
2018,18,white,male,never married,12,high school,2,NA,NA,south,not very strong republican,keeping house,NA,3,pretty happy,good,protestant,every week,yes,iap,iap,NA,moderately satisfied,middle class,pretty well satisfied,conservative,only some,only some,a great deal,a great deal,only some,a great deal,hardly any,a great deal,hardly any,a great deal,only some,only some,a great deal,no,yes,"yes, respondent does",oppose,should be legal,not harshly enough,iap,iap,iap,ineligible
1998,36,white,male,married,17,bachelor's,6,35,148796,west,"independent, close to republican",working full time,89,2,very happy,good,protestant,several times a week,yes,iap,iap,2,very satisfied,middle class,not satisfied at all,conservative,only some,hardly any,only some,hardly any,hardly any,hardly any,hardly any,only some,hardly any,only some,only some,hardly any,only some,yes,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,34,black,female,never married,12,high school,6,17,26287.5,south,"independent, close to democrat",working full time,38,1,pretty happy,good,protestant,several times a year,yes,once or twice a week,never,2,moderately satisfied,working class,not satisfied at all,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,strongly disagree,iap,voted
1998,22,white,female,never married,16,high school,5,NA,148796,south,"independent (neither, no response)",in school,NA,1,pretty happy,excellent,catholic,nearly every week,yes,several times a month,less than once a week,1,iap,upper class,more or less satisfied,conservative,only some,a great deal,a great deal,a great deal,a great deal,only some,only some,a great deal,only some,a great deal,a great deal,a great deal,a great deal,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,iap,voted
1998,48,white,male,divorced,10,less than high school,6,26,48149,northeast,"independent (neither, no response)",working full time,40,2,pretty happy,fair,protestant,never,yes,several times a year,every day,1,a little dissatisfied,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, respondent does",favor,iap,not harshly enough,disagree,agree,iap,did not vote
2018,60,other,male,never married,12,high school,6,NA,7886.249999999999,west,strong democrat,keeping house,NA,1,not too happy,iap,catholic,never,no,about once a month,never,10,very satisfied,lower class,not satisfied at all,"moderate, middle of the road",hardly any,only some,only some,hardly any,hardly any,hardly any,only some,hardly any,a great deal,only some,only some,only some,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,strongly agree,voted
1998,23,white,male,never married,12,high school,1,NA,8025,midwest,"independent, close to democrat",working part time,25,2,pretty happy,good,none,never,yes,about once a month,once a week,0,moderately satisfied,middle class,more or less satisfied,slightly conservative,a great deal,a great deal,only some,a great deal,only some,only some,a great deal,a great deal,a great deal,only some,a great deal,only some,a great deal,iap,iap,iap,iap,should be legal,not harshly enough,disagree,strongly disagree,iap,ineligible
1998,77,white,male,married,12,high school,4,28,48149,midwest,not very strong republican,retired,NA,0,pretty happy,good,catholic,every week,yes,iap,iap,4,iap,middle class,pretty well satisfied,slightly conservative,a great deal,don't know,a great deal,a great deal,a great deal,only some,hardly any,only some,only some,hardly any,only some,only some,a great deal,no,yes,"yes, respondent does",oppose,should be legal,too harshly,iap,iap,iap,voted
2018,19,other,male,never married,13,high school,1,NA,47317.5,west,not very strong democrat,in school,NA,1,very happy,good,catholic,nearly every week,yes,almost daily,less than once a week,1,iap,middle class,more or less satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,too harshly,disagree,disagree,iap,ineligible
1998,32,white,male,married,12,high school,1,18,88273,south,strong democrat,working full time,50,2,very happy,fair,catholic,don't know,no answer,once or twice a week,every day,3,very satisfied,working class,pretty well satisfied,"moderate, middle of the road",only some,hardly any,hardly any,hardly any,hardly any,a great deal,hardly any,only some,hardly any,only some,don't know,hardly any,hardly any,iap,iap,iap,iap,should be legal,not harshly enough,agree,disagree,iap,voted
2018,43,white,female,married,18,graduate,2,21,47317.5,midwest,not very strong republican,working full time,40,3,very happy,iap,protestant,every week,yes,several times a month,less than once a week,2,moderately satisfied,middle class,more or less satisfied,slightly conservative,a great deal,only some,only some,only some,only some,only some,hardly any,only some,hardly any,only some,only some,only some,a great deal,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,iap,voted
1998,54,other,male,married,12,high school,6,26,NA,west,"independent (neither, no response)",working full time,40,2,very happy,good,protestant,never,iap,iap,iap,NA,very satisfied,lower class,pretty well satisfied,don't know,only some,only some,only some,a great deal,only some,only some,only some,hardly any,only some,only some,only some,only some,only some,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,did not vote
2018,43,white,female,married,18,graduate,2,21,47317.5,midwest,not very strong republican,working full time,40,3,very happy,iap,protestant,every week,yes,several times a month,less than once a week,2,moderately satisfied,middle class,more or less satisfied,slightly conservative,a great deal,only some,only some,only some,only some,only some,hardly any,only some,hardly any,only some,only some,only some,a great deal,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,iap,voted
2018,46,other,male,never married,13,high school,1,32,57832.5,west,"independent, close to republican",working full time,60,1,not too happy,iap,catholic,never,no,once or twice a week,never,1,very satisfied,working class,pretty well satisfied,conservative,only some,hardly any,hardly any,only some,hardly any,a great deal,a great deal,only some,a great deal,a great deal,a great deal,hardly any,a great deal,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,iap,did not vote
1998,40,white,male,married,12,high school,4,28,34774,west,strong republican,working full time,40,2,very happy,good,protestant,every week,iap,iap,iap,NA,very satisfied,middle class,more or less satisfied,"moderate, middle of the road",only some,only some,only some,only some,only some,only some,hardly any,only some,hardly any,only some,only some,only some,a great deal,yes,yes,"yes, respondent does",favor,should not be legal,not harshly enough,iap,iap,iap,voted
1998,55,white,female,never married,18,graduate,1,NA,106998,northeast,not very strong republican,working full time,35,1,pretty happy,excellent,protestant,never,no,about once a year,every day,1,moderately satisfied,middle class,more or less satisfied,"moderate, middle of the road",only some,only some,hardly any,only some,only some,hardly any,only some,only some,only some,a great deal,a great deal,only some,only some,iap,iap,iap,iap,don't know,not harshly enough,disagree,strongly disagree,iap,voted
2018,80,white,female,married,10,high school,6,18,112160,south,"independent (neither, no response)",keeping house,NA,1,pretty happy,good,protestant,several times a week,yes,several times a year,never,1,very satisfied,middle class,pretty well satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,don't know,disagree,strongly agree,iap,did not vote
2018,76,white,male,married,15,high school,2,25,NA,west,not very strong republican,retired,NA,0,pretty happy,iap,protestant,2-3 times a month,no,about once a month,every day,6,iap,working class,pretty well satisfied,slightly conservative,hardly any,only some,only some,a great deal,hardly any,hardly any,only some,only some,hardly any,only some,hardly any,hardly any,only some,iap,iap,iap,iap,should be legal,not harshly enough,disagree,strongly disagree,neither agree nor disagree,voted
2018,24,white,male,never married,16,bachelor's,2,NA,9638.75,west,not very strong democrat,working full time,24,1,pretty happy,good,none,about once or twice a year,no,several times a year,a few times a week,2,a little dissatisfied,lower class,not satisfied at all,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,about right,disagree,strongly disagree,iap,voted
1998,68,white,female,widowed,10,high school,6,20,NA,south,no answer,retired,NA,1,very happy,fair,protestant,several times a week,iap,iap,iap,NA,iap,working class,not satisfied at all,slightly liberal,only some,a great deal,only some,a great deal,hardly any,hardly any,only some,only some,only some,only some,a great deal,only some,a great deal,yes,yes,"no, neither r nor spouse hunts",favor,should not be legal,about right,iap,iap,iap,voted
2018,21,white,male,never married,15,high school,1,NA,1402,west,other party,in school,NA,1,pretty happy,iap,jewish,about once or twice a year,yes,several times a year,once a week,0,iap,upper class,pretty well satisfied,"moderate, middle of the road",only some,only some,only some,only some,only some,only some,hardly any,only some,hardly any,a great deal,a great deal,only some,only some,iap,iap,iap,iap,should be legal,don't know,disagree,disagree,disagree,voted
2018,55,other,female,married,10,high school,6,20,70100,midwest,"independent, close to republican",working full time,40,2,very happy,good,catholic,nearly every week,yes,iap,iap,NA,very satisfied,middle class,pretty well satisfied,extremely conservative,a great deal,hardly any,only some,a great deal,a great deal,only some,a great deal,only some,only some,a great deal,a great deal,only some,a great deal,yes,no,"no, neither r nor spouse hunts",favor,should be legal,too harshly,iap,iap,iap,voted
2018,24,white,male,never married,16,bachelor's,2,NA,9638.75,west,not very strong democrat,working full time,24,1,pretty happy,good,none,about once or twice a year,no,several times a year,a few times a week,2,a little dissatisfied,lower class,not satisfied at all,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,about right,disagree,strongly disagree,iap,voted
1998,51,black,male,married,13,high school,2,17,106998,midwest,strong democrat,working full time,65,2,pretty happy,good,protestant,2-3 times a month,yes,about once a month,every day,4,very dissatisfied,working class,not satisfied at all,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,refused,"no, neither r nor spouse hunts",favor,iap,about right,disagree,disagree,iap,voted
2018,40,white,female,never married,12,high school,4,17,11391.25,west,not very strong republican,keeping house,NA,2,pretty happy,iap,protestant,2-3 times a month,yes,almost daily,once a week,4,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",a great deal,only some,only some,only some,hardly any,only some,hardly any,a great deal,only some,hardly any,a great deal,hardly any,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,did not vote
